Year,Month,OtherStates_Births
1992,1992-01-01,5691405
1992,1992-02-01,5383412
1992,1992-03-01,5787148
1992,1992-04-01,5659697
1992,1992-05-01,5837080
1992,1992-06-01,5758483
1992,1992-07-01,6091853
1992,1992-08-01,5942485
1992,1992-09-01,5923090
1992,1992-10-01,5876973
1992,1992-11-01,5501401
1992,1992-12-01,5752373
1993,1993-01-01,5514813
1993,1993-02-01,5168691
1993,1993-03-01,5806818
1993,1993-04-01,5549982
1993,1993-05-01,5696178
1993,1993-06-01,5680549
1993,1993-07-01,5982569
1993,1993-08-01,5969809
1993,1993-09-01,5942501
1993,1993-10-01,5683335
1993,1993-11-01,5408926
1993,1993-12-01,5641073
1994,1994-01-01,6049684
1994,1994-02-01,5647222
1994,1994-03-01,6353733
1994,1994-04-01,5923339
1994,1994-05-01,6164984
1994,1994-06-01,6133055
1994,1994-07-01,6434920
1994,1994-08-01,6575867
1994,1994-09-01,6359654
1994,1994-10-01,6211293
1994,1994-11-01,6017148
1994,1994-12-01,6109930
1995,1995-01-01,5910160
1995,1995-02-01,5508303
1995,1995-03-01,6120214
1995,1995-04-01,5748001
1995,1995-05-01,6207432
1995,1995-06-01,6146813
1995,1995-07-01,6344203
1995,1995-08-01,6538565
1995,1995-09-01,6324462
1995,1995-10-01,6198264
1995,1995-11-01,5822201
1995,1995-12-01,5887207
1996,1996-01-01,5851861
1996,1996-02-01,5595776
1996,1996-03-01,5988192
1996,1996-04-01,5785563
1996,1996-05-01,6031721
1996,1996-06-01,5897728
1996,1996-07-01,6383591
1996,1996-08-01,6424443
1996,1996-09-01,6248367
1996,1996-10-01,6265105
1996,1996-11-01,5768901
1996,1996-12-01,5980347
1997,1997-01-01,5887760
1997,1997-02-01,5384689
1997,1997-03-01,5940560
1997,1997-04-01,5783109
1997,1997-05-01,6083054
1997,1997-06-01,5914840
1997,1997-07-01,6376815
1997,1997-08-01,6287009
1997,1997-09-01,6182102
1997,1997-10-01,6080717
1997,1997-11-01,5691213
1997,1997-12-01,6084533
1998,1998-01-01,5896987
1998,1998-02-01,5483230
1998,1998-03-01,6040085
1998,1998-04-01,5864401
1998,1998-05-01,6048945
1998,1998-06-01,5984581
1998,1998-07-01,6400906
1998,1998-08-01,6343223
1998,1998-09-01,6322278
1998,1998-10-01,6151645
1998,1998-11-01,5802187
1998,1998-12-01,6164845
1999,1999-01-01,5888816
1999,1999-02-01,5460735
1999,1999-03-01,6091645
1999,1999-04-01,5798492
1999,1999-05-01,5993810
1999,1999-06-01,6064887
1999,1999-07-01,6406869
1999,1999-08-01,6481120
1999,1999-09-01,6432061
1999,1999-10-01,6139808
1999,1999-11-01,5823205
1999,1999-12-01,6145702
2000,2000-01-01,6085976
2000,2000-02-01,5812696
2000,2000-03-01,6245357
2000,2000-04-01,5796839
2000,2000-05-01,6256682
2000,2000-06-01,6240433
2000,2000-07-01,6398466
2000,2000-08-01,6618072
2000,2000-09-01,6414214
2000,2000-10-01,6355856
2000,2000-11-01,6172824
2000,2000-12-01,6224505
2001,2001-01-01,6188480
2001,2001-02-01,5568741
2001,2001-03-01,6192571
2001,2001-04-01,5933202
2001,2001-05-01,6290784
2001,2001-06-01,6066764
2001,2001-07-01,6442853
2001,2001-08-01,6671593
2001,2001-09-01,6318909
2001,2001-10-01,6375824
2001,2001-11-01,5983593
2001,2001-12-01,6027239
2002,2002-01-01,6093915
2002,2002-02-01,5578199
2002,2002-03-01,6065570
2002,2002-04-01,5935532
2002,2002-05-01,6203652
2002,2002-06-01,6001192
2002,2002-07-01,6552125
2002,2002-08-01,6607587
2002,2002-09-01,6448991
2002,2002-10-01,6401998
2002,2002-11-01,5909922
2002,2002-12-01,6176876
2003,2003-01-01,6876053
2003,2003-02-01,6387529
2003,2003-03-01,6999144
2003,2003-04-01,6829768
2003,2003-05-01,7174755
2003,2003-06-01,6977385
2003,2003-07-01,7542437
2003,2003-08-01,7486781
2003,2003-09-01,7483230
2003,2003-10-01,7372643
2003,2003-11-01,6671748
2003,2003-12-01,7153539
2004,2004-01-01,6924516
2004,2004-02-01,6533222
2004,2004-03-01,7152722
2004,2004-04-01,6885838
2004,2004-05-01,6980173
2004,2004-06-01,7120584
2004,2004-07-01,7452485
2004,2004-08-01,7409958
2004,2004-09-01,7432875
2004,2004-10-01,7269282
2004,2004-11-01,7003760
2004,2004-12-01,7195380
2005,2005-01-01,6902863
2005,2005-02-01,6419440
2005,2005-03-01,7222042
2005,2005-04-01,6869985
2005,2005-05-01,7137847
2005,2005-06-01,7241376
2005,2005-07-01,7421244
2005,2005-08-01,7702498
2005,2005-09-01,7600300
2005,2005-10-01,7211573
2005,2005-11-01,7019691
2005,2005-12-01,7258846
2006,2006-01-01,7093504
2006,2006-02-01,6619875
2006,2006-03-01,7374171
2006,2006-04-01,6806945
2006,2006-05-01,7334167
2006,2006-06-01,7394359
2006,2006-07-01,7625156
2006,2006-08-01,8033601
2006,2006-09-01,7785535
2006,2006-10-01,7640435
2006,2006-11-01,7330003
2006,2006-12-01,7414692
2007,2007-01-01,7359334
2007,2007-02-01,6745756
2007,2007-03-01,7447037
2007,2007-04-01,6973668
2007,2007-05-01,7458497
2007,2007-06-01,7390796
2007,2007-07-01,7847170
2007,2007-08-01,8102124
2007,2007-09-01,7635067
2007,2007-10-01,7693609
2007,2007-11-01,7379028
2007,2007-12-01,7370503
2008,2008-01-01,7389479
2008,2008-02-01,6996146
2008,2008-03-01,7227334
2008,2008-04-01,7146326
2008,2008-05-01,7314149
2008,2008-06-01,7162477
2008,2008-07-01,7759602
2008,2008-08-01,7723087
2008,2008-09-01,7615883
2008,2008-10-01,7438617
2008,2008-11-01,6741130
2008,2008-12-01,7344447
2009,2009-01-01,7022338
2009,2009-02-01,6540538
2009,2009-03-01,7174218
2009,2009-04-01,6935817
2009,2009-05-01,7100176
2009,2009-06-01,7134010
2009,2009-07-01,7596717
2009,2009-08-01,7450713
2009,2009-09-01,7495194
2009,2009-10-01,7204670
2009,2009-11-01,6639984
2009,2009-12-01,7078233
2010,2010-01-01,6706805
2010,2010-02-01,6234265
2010,2010-03-01,6974306
2010,2010-04-01,6674441
2010,2010-05-01,6741747
2010,2010-06-01,6869394
2010,2010-07-01,7108668
2010,2010-08-01,7239613
2010,2010-09-01,7258791
2010,2010-10-01,7014462
2010,2010-11-01,6786491
2010,2010-12-01,7046210
2011,2011-01-01,6646597
2011,2011-02-01,6150084
2011,2011-03-01,6800808
2011,2011-04-01,6454199
2011,2011-05-01,6713660
2011,2011-06-01,6913182
2011,2011-07-01,7109518
2011,2011-08-01,7407793
2011,2011-09-01,7138296
2011,2011-10-01,6810707
2011,2011-11-01,6670098
2011,2011-12-01,6785174
2012,2012-01-01,6545711
2012,2012-02-01,6286088
2012,2012-03-01,6679013
2012,2012-04-01,6312180
2012,2012-05-01,6780591
2012,2012-06-01,6718023
2012,2012-07-01,7152931
2012,2012-08-01,7461496
2012,2012-09-01,7066649
2012,2012-10-01,7173488
2012,2012-11-01,6755670
2012,2012-12-01,6729295
2013,2013-01-01,6711773
2013,2013-02-01,6021220
2013,2013-03-01,6589533
2013,2013-04-01,6415626
2013,2013-05-01,6763020
2013,2013-06-01,6553990
2013,2013-07-01,7173176
2013,2013-08-01,7321512
2013,2013-09-01,7015913
2013,2013-10-01,7068050
2013,2013-11-01,6617358
2013,2013-12-01,6975374
2014,2014-01-01,7266547
2014,2014-02-01,6624481
2014,2014-03-01,7172939
2014,2014-04-01,7055456
2014,2014-05-01,7392116
2014,2014-06-01,7224422
2014,2014-07-01,7891988
2014,2014-08-01,7869985
2014,2014-09-01,7779228
2014,2014-10-01,7667756
2014,2014-11-01,7121599
2014,2014-12-01,7605741
2015,2015-01-01,7267969
2015,2015-02-01,6633858
2015,2015-03-01,7292044
2015,2015-04-01,7097285
2015,2015-05-01,7254108
2015,2015-06-01,7303185
2015,2015-07-01,7836863
2015,2015-08-01,7826256
2015,2015-09-01,7750879
2015,2015-10-01,7565411
2015,2015-11-01,7128154
2015,2015-12-01,7483207
